trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
-281.25085,110.30782,68.001205,-428.04443,72.56140350877193,-399.76743,0.0,-399.76743,-399.76743,106.0,-399.76743
-274.59424,97.89425,61.75169,-415.21008,67.34426229508196,54.091858,0.0,54.091858,54.091858,56.0,-399.76743
-236.75615,128.70302,-127.546265,-480.47873,683.2857142857143,-191.27098,0.0,-191.27098,-191.27098,999.0,-399.76743
-142.98166,25.474297,-110.23253,-173.46484,999.0,-153.91138,0.0,-153.91138,-153.91138,999.0,-399.76743
-167.58936,38.440857,-128.75156,-240.5694,885.6,-124.42746,0.0,-124.42746,-124.42746,338.0,-399.76743
-179.49394,57.107292,-93.98889,-287.56052,696.1428571428571,-162.68367,0.0,-162.68367,-162.68367,183.0,-399.76743
-138.17778,57.223515,-37.140785,-210.999,561.625,-186.36838,0.0,-186.36838,-186.36838,274.0,-399.76743
-162.57675,86.81105,-49.16403,-366.0926,425.27272727272725,-160.9765,0.0,-160.9765,-160.9765,999.0,-399.76743
-155.0513,42.451054,-112.01809,-227.7648,821.6,-217.36684,0.0,-217.36684,-217.36684,164.0,-399.76743
-75.59605,101.370445,124.15185,-155.06778,937.2,-102.80171,0.0,-102.80171,-102.80171,999.0,-399.76743
-89.98561,39.82075,-37.191692,-159.9848,976.8,-110.94433,0.0,-110.94433,-110.94433,999.0,-399.76743
-38.94486,102.648285,163.72574,-109.50179,901.0,-107.99884,0.0,-107.99884,-107.99884,999.0,-399.76743
18.154144,147.8804,204.06808,-137.99367,723.1666666666666,158.12434,0.0,158.12434,158.12434,410.0,-399.76743
50.17563,96.312126,165.06424,-88.187454,583.0,142.00252,0.0,142.00252,142.00252,365.0,-399.76743
-70.33888,16.686735,-53.220085,-95.775795,999.0,-87.11616,0.0,-87.11616,-87.11616,999.0,-399.76743
18.532055,82.99031,143.78067,-83.63851,672.5714285714286,47.705215,0.0,47.705215,47.705215,499.0,-399.76743
78.95107,121.80914,212.13664,-114.00493,517.75,-87.50751,0.0,-87.50751,-87.50751,999.0,-399.76743
-88.85742,29.536526,-58.489674,-143.53311,960.8,-59.878666,0.0,-59.878666,-59.878666,999.0,-399.76743
34.43253,132.8076,185.8141,-138.27621,594.1428571428571,-31.464336,0.0,-31.464336,-31.464336,999.0,-399.76743
33.383266,109.43885,173.74875,-90.51834,606.1428571428571,203.7659,0.0,203.7659,203.7659,381.0,-399.76743
25.576616,124.39605,184.88622,-140.0351,703.3333333333334,201.79227,0.0,201.79227,201.79227,386.0,-399.76743
-4.86344,111.77795,188.33908,-114.53563,683.6666666666666,-113.73877,0.0,-113.73877,-113.73877,999.0,-399.76743
-70.19784,150.62114,167.3258,-266.01956,718.5,-82.359055,0.0,-82.359055,-82.359055,527.0,-399.76743
-42.147312,145.66524,198.57047,-209.38428,626.25,-85.25778,0.0,-85.25778,-85.25778,999.0,-399.76743
-92.40243,25.379091,-59.221603,-137.28099,999.0,-112.957016,0.0,-112.957016,-112.957016,999.0,-399.76743
4.9143424,163.94876,209.97603,-283.68616,493.0,-114.72024,0.0,-114.72024,-114.72024,999.0,-399.76743
-54.148853,110.73069,154.12646,-140.41861,724.5,203.57921,0.0,203.57921,203.57921,122.0,-399.76743
3.81102,105.25008,167.9355,-107.635956,764.0,-127.399055,0.0,-127.399055,-127.399055,999.0,-399.76743
37.750305,105.04162,213.86578,-88.61221,493.3,-112.547714,0.0,-112.547714,-112.547714,999.0,-399.76743
18.737566,98.064095,166.91295,-72.61533,801.1666666666666,-79.548355,0.0,-79.548355,-79.548355,999.0,-399.76743
67.15953,108.480865,189.19745,-142.95822,581.0,140.31378,0.0,140.31378,140.31378,510.0,-399.76743
73.577286,112.11655,248.04709,-51.85344,352.46153846153845,-56.126434,0.0,-56.126434,-56.126434,999.0,-399.76743
38.35692,93.950005,177.23877,-90.272026,479.1111111111111,49.780212,0.0,49.780212,49.780212,225.0,-399.76743
66.93024,90.48718,205.72375,-55.464027,521.375,-44.531837,0.0,-44.531837,-44.531837,999.0,-399.76743
45.44736,128.73378,220.44792,-115.46785,396.9166666666667,-76.31862,0.0,-76.31862,-76.31862,999.0,-399.76743
133.11864,101.64769,265.00842,-16.51429,588.0,83.34339,0.0,83.34339,83.34339,755.0,-399.76743
8.91001,127.328865,183.35864,-134.59425,745.5,-162.87741,0.0,-162.87741,-162.87741,999.0,-399.76743
29.9403,96.27094,193.07333,-75.30461,550.6666666666666,-12.739442,0.0,-12.739442,-12.739442,179.0,-399.76743
109.83879,133.15834,242.67659,-109.21426,421.8,223.9288,0.0,223.9288,223.9288,233.0,-399.76743
89.699776,110.73469,241.86484,-76.04211,334.85714285714283,36.943363,0.0,36.943363,36.943363,589.0,-399.76743
15.99154,98.28355,200.87518,-71.27172,786.6666666666666,-49.397453,0.0,-49.397453,-49.397453,999.0,-399.76743
150.79709,76.87065,211.46234,-62.43196,439.6,224.23528,0.0,224.23528,224.23528,443.0,-399.76743
122.0587,117.77926,254.22038,-194.12393,287.6875,153.56024,0.0,153.56024,153.56024,112.0,-399.76743
168.12135,45.62492,210.95929,86.01588,378.72727272727275,120.36503,0.0,120.36503,120.36503,438.0,-399.76743
95.01345,149.93982,230.33476,-181.08258,378.1666666666667,73.28252,0.0,73.28252,73.28252,406.0,-399.76743
72.97,126.475235,221.65608,-121.152916,589.625,58.954323,0.0,58.954323,58.954323,994.0,-399.76743
153.1223,84.91263,261.1332,-42.93611,258.05882352941177,184.29639,0.0,184.29639,184.29639,196.0,-399.76743
144.23434,88.06513,229.24207,-65.542564,276.05882352941177,228.66278,0.0,228.66278,228.66278,192.0,-399.76743
117.02985,112.496605,247.28754,-57.99438,632.1428571428571,198.53304,0.0,198.53304,198.53304,192.0,-399.76743
122.81886,88.72506,210.14064,-102.12885,555.5,126.00319,0.0,126.00319,126.00319,797.0,-399.76743
181.74768,39.68284,250.7732,129.73383,405.45454545454544,208.14108,0.0,208.14108,208.14108,336.0,-399.76743
