trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
-615.5245,175.32532,-373.705,-1383.6533,93.31818181818181,-1102.9303,0.0,-1102.9303,-1102.9303,222.0,-1102.9303
-647.07025,193.85657,-370.64023,-1455.5685,98.70454545454545,-668.5242,0.0,-668.5242,-668.5242,145.0,-1102.9303
-143.93755,24.057165,-109.23045,-168.95923,999.0,-118.27446,0.0,-118.27446,-118.27446,999.0,-1102.9303
-60.405243,103.3256,102.37814,-182.7467,706.0,-95.96143,0.0,-95.96143,-95.96143,167.0,-1102.9303
-145.90508,16.333683,-124.675224,-173.43561,999.0,-126.73003,0.0,-126.73003,-126.73003,999.0,-1102.9303
-158.3154,17.74739,-133.46532,-182.55035,981.4,-141.29659,0.0,-141.29659,-141.29659,999.0,-1102.9303
-176.3129,60.485863,-129.35373,-288.08722,965.6,-169.32245,0.0,-169.32245,-169.32245,820.0,-1102.9303
-185.47298,37.25148,-132.33888,-221.91861,764.8333333333334,-279.4002,0.0,-279.4002,-279.4002,696.0,-1102.9303
-138.70253,50.52931,-96.0816,-246.86166,721.5,-229.21959,0.0,-229.21959,-229.21959,826.0,-1102.9303
-124.01782,91.88562,92.32158,-211.01625,547.5,-55.65589,0.0,-55.65589,-55.65589,355.0,-1102.9303
-116.19942,60.33327,-15.52166,-198.69162,657.5714285714286,-123.2991,0.0,-123.2991,-123.2991,999.0,-1102.9303
-101.33618,78.86556,-0.93548965,-241.81009,716.0,-182.7814,0.0,-182.7814,-182.7814,266.0,-1102.9303
-60.639038,63.911076,55.9835,-127.17008,998.2,-125.880585,0.0,-125.880585,-125.880585,999.0,-1102.9303
-36.42829,102.80819,129.55621,-148.10297,645.1428571428571,-40.76792,0.0,-40.76792,-40.76792,649.0,-1102.9303
5.2599053,71.84923,124.312546,-58.5806,821.0,-190.37868,0.0,-190.37868,-190.37868,288.0,-1102.9303
-48.79568,120.481026,193.22891,-185.97067,595.5714285714286,172.64937,0.0,172.64937,172.64937,691.0,-1102.9303
-13.200242,102.51549,122.01731,-136.87369,778.0,188.97966,0.0,188.97966,188.97966,442.0,-1102.9303
-36.414402,86.08953,109.70436,-117.38685,839.5,-103.37645,0.0,-103.37645,-103.37645,999.0,-1102.9303
-66.46933,18.948822,-31.030067,-86.75799,999.0,-71.56499,0.0,-71.56499,-71.56499,999.0,-1102.9303
-60.305286,28.085722,-18.494877,-94.69203,966.8,-104.92952,0.0,-104.92952,-104.92952,999.0,-1102.9303
17.752172,95.5822,160.68045,-78.89025,802.1666666666666,135.90569,0.0,135.90569,135.90569,540.0,-1102.9303
-17.228664,89.883064,84.611275,-130.25531,845.6,-81.32889,0.0,-81.32889,-81.32889,999.0,-1102.9303
-48.833794,15.404523,-29.961334,-66.33998,986.8,-69.66247,0.0,-69.66247,-69.66247,999.0,-1102.9303
-37.74046,103.29878,162.28146,-109.56123,845.0,-27.383614,0.0,-27.383614,-27.383614,999.0,-1102.9303
-33.082493,99.07398,159.89595,-119.677124,846.4,-138.23776,0.0,-138.23776,-138.23776,999.0,-1102.9303
-24.320343,60.448395,74.638245,-96.33005,853.6,-94.73358,0.0,-94.73358,-94.73358,999.0,-1102.9303
-11.031915,91.68718,130.6997,-107.182,667.5714285714286,47.1182,0.0,47.1182,47.1182,403.0,-1102.9303
-54.948883,19.918453,-26.489235,-87.47634,999.0,-52.786438,0.0,-52.786438,-52.786438,999.0,-1102.9303
2.492871,92.255295,184.5886,-62.501217,837.4,162.77982,0.0,162.77982,162.77982,462.0,-1102.9303
37.541603,124.62547,220.5782,-108.49388,705.8333333333334,-58.424767,0.0,-58.424767,-58.424767,999.0,-1102.9303
-38.413452,94.17662,147.07486,-113.07955,846.8,86.09706,0.0,86.09706,86.09706,322.0,-1102.9303
-11.592311,90.72424,156.6904,-116.196236,912.0,-123.989914,0.0,-123.989914,-123.989914,999.0,-1102.9303
-10.986054,93.3577,108.93735,-127.916336,766.5,-65.27916,0.0,-65.27916,-65.27916,999.0,-1102.9303
-93.903465,31.59483,-32.777767,-120.727844,999.0,84.30432,0.0,84.30432,84.30432,302.0,-1102.9303
-78.434586,17.329443,-62.588833,-110.578415,999.0,-39.47959,0.0,-39.47959,-39.47959,999.0,-1102.9303
61.817036,97.616745,201.28401,-92.83243,549.5555555555555,225.30719,0.0,225.30719,225.30719,99.0,-1102.9303
-38.653942,150.6606,168.2617,-227.05112,711.6666666666666,173.5837,0.0,173.5837,173.5837,355.0,-1102.9303
-15.105118,105.63754,172.41043,-151.77396,857.2,-146.82642,0.0,-146.82642,-146.82642,572.0,-1102.9303
-26.67781,89.50373,179.15869,-94.79982,628.8571428571429,119.28238,0.0,119.28238,119.28238,771.0,-1102.9303
-70.33554,104.17552,92.87014,-210.37619,692.8571428571429,-75.26183,0.0,-75.26183,-75.26183,999.0,-1102.9303
-12.062282,97.18264,158.70255,-131.19421,413.5,119.49954,0.0,119.49954,119.49954,357.0,-1102.9303
