trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-615.5245,175.32532,-373.705,-1383.6533,93.31818181818181,-1102.9303,0.0,-1102.9303,-1102.9303,222.0,None,-1102.9303
-612.15765,191.273,-324.22583,-1300.6355,95.48837209302326,-528.3031,0.0,-528.3031,-528.3031,77.0,None,-1102.9303
-39.406315,63.924866,141.31439,-102.83454,330.3076923076923,24.634823,0.0,24.634823,24.634823,482.0,None,-1102.9303
4.8661447,21.47876,45.770695,-21.144192,501.0,25.875134,0.0,25.875134,25.875134,501.0,None,-1102.9303
-13.912918,54.419807,53.70058,-133.51755,491.0,51.365273,0.0,51.365273,51.365273,501.0,None,-1102.9303
-28.64535,91.051926,162.97745,-168.41249,403.1818181818182,-77.60298,0.0,-77.60298,-77.60298,436.0,None,-1102.9303
122.20429,100.20297,232.80112,-91.89209,307.0,71.48712,0.0,71.48712,71.48712,501.0,None,-1102.9303
60.908356,78.28273,195.46466,-25.937485,431.5,32.197998,0.0,32.197998,32.197998,501.0,None,-1102.9303
79.006294,96.35109,206.7048,-101.20041,355.0833333333333,74.89279,0.0,74.89279,74.89279,341.0,None,-1102.9303
143.38171,82.847374,223.75203,-69.08261,252.58823529411765,-17.825008,0.0,-17.825008,-17.825008,200.0,None,-1102.9303
76.27342,119.72095,228.35327,-155.7767,297.0,242.1647,0.0,242.1647,242.1647,239.0,None,-1102.9303
-20.305872,27.503067,28.70256,-64.97551,501.0,12.154654,0.0,12.154654,12.154654,501.0,None,-1102.9303
-15.800214,128.08253,209.32593,-169.17018,385.09090909090907,14.074928,0.0,14.074928,14.074928,501.0,None,-1102.9303
-80.00537,103.18549,10.852081,-256.8757,461.55555555555554,5.3948975,0.0,5.3948975,5.3948975,501.0,None,-1102.9303
-60.554817,147.62946,174.57245,-351.58966,231.55555555555554,-328.4762,0.0,-328.4762,-328.4762,187.0,None,-1102.9303
50.176147,119.46536,220.40724,-119.895,162.53846153846155,-81.68561,0.0,-81.68561,-81.68561,97.0,None,-1102.9303
67.761734,102.182045,213.62894,-104.178635,321.0,225.82385,0.0,225.82385,225.82385,241.0,None,-1102.9303
130.39197,60.95128,211.45813,29.461496,406.27272727272725,57.880257,0.0,57.880257,57.880257,501.0,None,-1102.9303
29.79744,100.26473,193.30035,-163.38513,440.5,14.541031,0.0,14.541031,14.541031,501.0,None,-1102.9303
-110.2992,272.27158,155.06444,-959.71704,242.11764705882354,-510.39758,0.0,-510.39758,-510.39758,378.0,None,-1102.9303
-699.499,116.260254,-447.76672,-944.7137,73.60714285714286,-776.1685,0.0,-776.1685,-776.1685,82.0,None,-1102.9303
-760.3603,257.12537,-340.16974,-1371.5107,168.48,-700.81836,0.0,-700.81836,-700.81836,178.0,None,-1102.9303
-1031.5134,374.17972,-290.66895,-1639.4135,459.6666666666667,-1409.0735,0.0,-1409.0735,-1409.0735,501.0,None,-1102.9303
-1022.1267,431.13892,-461.7574,-2091.6938,97.86046511627907,-658.64954,0.0,-658.64954,-658.64954,68.0,None,-1102.9303
-791.98627,162.56949,-232.16878,-1226.4994,90.8695652173913,-1157.0406,0.0,-1157.0406,-1157.0406,114.0,None,-1102.9303
-783.42883,245.65459,-380.794,-1293.3894,89.08695652173913,-487.85178,0.0,-487.85178,-487.85178,63.0,None,-1102.9303
-1058.1106,270.20795,-543.0668,-1554.2218,100.14634146341463,-629.1452,0.0,-629.1452,-629.1452,63.0,None,-1102.9303
-1149.7101,385.42416,-514.722,-1884.2179,110.97297297297297,-631.7036,0.0,-631.7036,-631.7036,91.0,None,-1102.9303
-1165.7777,331.85648,-628.7968,-1872.3104,109.44736842105263,-1058.8264,0.0,-1058.8264,-1058.8264,93.0,None,-1102.9303
-518.792,295.5103,-95.07263,-1667.7643,126.93939393939394,-554.7651,0.0,-554.7651,-554.7651,110.0,None,-1102.9303
-569.3264,88.63896,-367.76276,-725.3638,80.96078431372548,-716.8355,0.0,-716.8355,-716.8355,96.0,None,-1102.9303
-593.3946,81.86981,-410.62598,-745.4433,75.14545454545454,-489.11807,0.0,-489.11807,-489.11807,59.0,None,-1102.9303
-600.8935,110.0913,-337.48428,-791.6615,68.06557377049181,-534.5178,0.0,-534.5178,-534.5178,61.0,None,-1102.9303
