trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
6.0816026,0.27375796,7.0,6.0,6.0816023738872405,6.090909,0.28747976,7.0,6.0,6.090909090909091,None,6.090909
6.093611,0.29128635,7.0,6.0,6.093610698365527,6.0,0.0,6.0,6.0,6.0,None,6.090909
19.473934,1.49661,23.0,17.0,19.473933649289098,18.5,1.5,21.0,17.0,18.5,-6.628506183624268,6.090909
31.442749,1.5975187,35.0,29.0,31.442748091603054,31.333334,1.6996732,33.0,29.0,31.333333333333332,-12.602323532104492,6.090909
48.482353,1.2889738,51.0,46.0,48.48235294117647,50.0,1.0,51.0,49.0,50.0,-15.573202133178711,6.090909
46.602272,0.93589735,48.0,45.0,46.60227272727273,46.0,1.0,47.0,45.0,46.0,-15.820568084716797,6.090909
45.91111,0.81164366,48.0,44.0,45.91111111111111,46.0,0.0,46.0,46.0,46.0,-14.124656677246094,6.090909
51.7875,1.0451524,54.0,50.0,51.7875,52.0,0.0,52.0,52.0,52.0,-15.690221786499023,6.090909
53.766235,1.4673598,57.0,52.0,53.76623376623377,53.5,0.5,54.0,53.0,53.5,-14.777153015136719,6.090909
42.666668,0.60667574,44.0,42.0,42.666666666666664,43.0,1.0,44.0,42.0,43.0,-16.75214195251465,6.090909
38.59813,0.63921404,40.0,38.0,38.598130841121495,39.5,0.5,40.0,39.0,39.5,-15.302464485168457,6.090909
43.252632,0.7673388,45.0,42.0,43.252631578947366,43.5,0.5,44.0,43.0,43.5,-15.035361289978027,6.090909
39.095238,0.68346196,40.0,38.0,39.095238095238095,39.0,0.0,39.0,39.0,39.0,-14.31606674194336,6.090909
44.27957,0.6111085,45.0,43.0,44.27956989247312,44.0,0.0,44.0,44.0,44.0,-15.799527168273926,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-16.153606414794922,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-15.49605655670166,6.090909
37.816513,0.3870646,38.0,37.0,37.81651376146789,38.0,0.0,38.0,38.0,38.0,-14.596999168395996,6.090909
38.092594,0.66020536,39.0,37.0,38.092592592592595,37.5,0.5,38.0,37.0,37.5,-13.630127906799316,6.090909
17.97807,0.3168537,19.0,17.0,17.978070175438596,18.0,0.0,18.0,18.0,18.0,-13.867523193359375,6.090909
38.962265,0.77611184,40.0,38.0,38.9622641509434,39.0,0.0,39.0,39.0,39.0,-11.866233825683594,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-12.47541332244873,6.090909
62.757576,0.71901876,64.0,62.0,62.75757575757576,62.0,0.0,62.0,62.0,62.0,-14.024105072021484,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-17.085777282714844,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-16.92386245727539,6.090909
134.51613,10.524537,140.0,107.0,134.51612903225808,108.0,0.0,108.0,108.0,108.0,-16.0300235748291,6.090909
125.666664,0.72474307,127.0,124.0,125.66666666666667,124.0,0.0,124.0,124.0,124.0,-16.93777847290039,6.090909
42.040817,0.31681994,43.0,41.0,42.04081632653061,42.0,0.0,42.0,42.0,42.0,-16.90035057067871,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.439544677734375,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-20.259679794311523,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-20.145370483398438,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.117280960083008,6.090909
