trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
6.0816026,0.27375796,7.0,6.0,6.0816023738872405,6.090909,0.28747976,7.0,6.0,6.090909090909091,None,6.090909
6.093611,0.29128635,7.0,6.0,6.093610698365527,6.0,0.0,6.0,6.0,6.0,None,6.090909
6.0801187,0.27147686,7.0,6.0,6.080118694362018,6.0,0.0,6.0,6.0,6.0,None,6.090909
41.918365,10.267517,81.0,29.0,41.91836734693877,37.0,1.0,38.0,36.0,37.0,-9.077950477600098,6.090909
59.768116,15.248801,104.0,38.0,59.768115942028984,41.0,4.0,45.0,37.0,41.0,-14.024003982543945,6.090909
107.666664,0.9696243,109.0,105.0,107.66666666666667,108.0,0.0,108.0,108.0,108.0,-19.654438018798828,6.090909
76.87037,1.4662411,80.0,74.0,76.87037037037037,78.0,0.0,78.0,78.0,78.0,-19.8458251953125,6.090909
79.34615,1.1583245,82.0,77.0,79.34615384615384,78.0,0.0,78.0,78.0,78.0,-19.232147216796875,6.090909
42.677082,21.78278,108.0,26.0,42.677083333333336,79.0,0.0,79.0,79.0,79.0,-19.455427169799805,6.090909
286.33334,32.429752,301.0,186.0,286.3333333333333,301.0,0.0,301.0,301.0,301.0,-19.668033599853516,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.959524154663086,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.922943115234375,6.090909
26.772728,8.619309,36.0,16.0,26.772727272727273,23.0,8.524474,35.0,16.0,23.0,-20.075471878051758,6.090909
12.118343,0.75224763,16.0,11.0,12.118343195266272,12.0,0.8164966,13.0,11.0,12.0,-21.089948654174805,6.090909
64.625,19.917408,115.0,33.0,64.625,41.5,1.5,43.0,40.0,41.5,-19.36745262145996,6.090909
60.97059,10.041048,93.0,42.0,60.970588235294116,53.5,8.5,62.0,45.0,53.5,-19.841007232666016,6.090909
50.32927,3.9603364,66.0,45.0,50.329268292682926,46.0,0.0,46.0,46.0,46.0,-19.507936477661133,6.090909
53.089745,1.3415061,58.0,50.0,53.08974358974359,52.5,0.5,53.0,52.0,52.5,-19.322429656982422,6.090909
62.5,10.235485,120.0,40.0,62.5,68.5,7.5,76.0,61.0,68.5,-19.39569091796875,6.090909
93.77273,26.486586,167.0,55.0,93.77272727272727,79.5,21.5,101.0,58.0,79.5,-20.04700469970703,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.991836547851562,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.48769760131836,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.242061614990234,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.25780487060547,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-18.878341674804688,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-20.534637451171875,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.84286117553711,6.090909
301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0,-19.174169540405273,6.090909
293.57144,26.784096,301.0,197.0,293.57142857142856,301.0,0.0,301.0,301.0,301.0,-19.837995529174805,6.090909
297.7857,11.589272,301.0,256.0,297.7857142857143,301.0,0.0,301.0,301.0,301.0,-20.10851287841797,6.090909
142.5,112.27845,301.0,53.0,142.5,301.0,0.0,301.0,301.0,301.0,-20.266956329345703,6.090909
