trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-20.24086,0.972214,-18.42406,-21.76152,301.0,-19.268324,0.0,-19.268324,-19.268324,301.0,None,-19.268324
-86.118576,29.792425,-14.527008,-115.02901,301.0,-103.61294,0.0,-103.61294,-103.61294,301.0,-5.964876174926758,-19.268324
192.43936,112.82574,437.17886,-10.092972,301.0,230.27455,0.0,230.27455,230.27455,301.0,-11.002884864807129,-19.268324
457.54474,116.38385,617.39124,163.51175,301.0,455.93622,0.0,455.93622,455.93622,301.0,-23.02753448486328,-19.268324
689.2712,75.88625,785.58105,510.21735,301.0,669.0827,0.0,669.0827,669.0827,301.0,-40.69650650024414,-19.268324
739.78503,342.2006,959.80164,-101.93292,301.0,922.27856,0.0,922.27856,922.27856,301.0,-42.915462493896484,-19.268324
830.12305,228.55803,1047.3916,362.29166,301.0,1003.8512,0.0,1003.8512,1003.8512,301.0,-43.34626388549805,-19.268324
791.8512,229.81516,1085.6776,333.04895,301.0,148.8387,0.0,148.8387,148.8387,301.0,-47.50703048706055,-19.268324
691.8779,264.88867,1101.8958,293.86536,301.0,1094.8964,0.0,1094.8964,1094.8964,301.0,-51.49418258666992,-19.268324
922.2026,244.34499,1131.2263,256.0288,301.0,683.87036,0.0,683.87036,683.87036,301.0,-48.3730583190918,-19.268324
972.3237,288.3973,1200.2372,300.9777,301.0,1096.4039,0.0,1096.4039,1096.4039,301.0,-44.362525939941406,-19.268324
1079.3456,202.83214,1196.8708,366.06564,301.0,1187.455,0.0,1187.455,1187.455,301.0,-40.25234603881836,-19.268324
1032.6887,167.22519,1139.075,488.84964,301.0,1120.614,0.0,1120.614,1120.614,301.0,-55.686729431152344,-19.268324
1139.9124,223.26584,1289.1729,427.90363,301.0,1253.8265,0.0,1253.8265,1253.8265,301.0,-59.26215362548828,-19.268324
1058.2119,272.0586,1323.3506,382.36978,301.0,859.1206,0.0,859.1206,859.1206,301.0,-60.09248352050781,-19.268324
1111.8373,285.0844,1340.9878,486.71588,301.0,1033.3345,0.0,1033.3345,1033.3345,301.0,-58.99097442626953,-19.268324
