trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
5.865714,3.3520522,28.0,3.0,5.865714285714286,5.4166665,3.0402396,12.0,3.0,5.416666666666667,None,5.4166665
5.975219,3.4642234,26.0,3.0,5.975218658892128,6.7,3.318132,13.0,3.0,6.7,None,5.4166665
5.886657,3.3538444,28.0,3.0,5.886657101865136,6.8,5.05569,18.0,3.0,6.8,None,5.4166665
48.729412,16.091932,121.0,26.0,48.72941176470588,55.0,6.0,61.0,49.0,55.0,-9.420241355895996,5.4166665
89.891304,19.516136,150.0,60.0,89.8913043478261,77.0,0.0,77.0,77.0,77.0,-16.764320373535156,5.4166665
111.51351,23.619305,190.0,76.0,111.51351351351352,87.0,0.0,87.0,87.0,87.0,-18.072965621948242,5.4166665
130.28125,29.163584,206.0,89.0,130.28125,158.0,0.0,158.0,158.0,158.0,-18.4809627532959,5.4166665
122.73529,19.826168,160.0,87.0,122.73529411764706,95.0,0.0,95.0,95.0,95.0,-17.25782585144043,5.4166665
149.17857,36.6704,293.0,106.0,149.17857142857142,149.0,0.0,149.0,149.0,149.0,-17.141971588134766,5.4166665
62.924244,3.1445508,75.0,58.0,62.92424242424242,61.0,1.0,62.0,60.0,61.0,-15.508928298950195,5.4166665
51.8,1.4696939,56.0,49.0,51.8,53.0,1.0,54.0,52.0,53.0,-15.290666580200195,5.4166665
455.5,136.5,501.0,46.0,455.5,501.0,0.0,501.0,501.0,501.0,-13.18513298034668,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-11.920547485351562,5.4166665
120.171425,6.652543,144.0,111.0,120.17142857142858,122.0,0.0,122.0,122.0,122.0,-12.107942581176758,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-11.569266319274902,5.4166665
471.55554,65.32842,501.0,294.0,471.55555555555554,501.0,0.0,501.0,501.0,501.0,-10.980843544006348,5.4166665
196.38095,9.15723,221.0,177.0,196.38095238095238,192.0,0.0,192.0,192.0,192.0,-10.2642183303833,5.4166665
140.5,2.262005,146.0,135.0,140.5,137.0,0.0,137.0,137.0,137.0,-9.285938262939453,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-8.566390037536621,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-7.513988494873047,5.4166665
75.58182,0.67932886,77.0,74.0,75.58181818181818,76.0,0.0,76.0,76.0,76.0,-7.570590972900391,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.528486728668213,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.00610876083374,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.39084529876709,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-5.786126136779785,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-5.237102508544922,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-5.176877975463867,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.7750654220581055,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.97774600982666,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.040606498718262,5.4166665
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.227957248687744,5.4166665
