eval_returns_Average,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
30.759493,42.68733,90.0,0.0,52.30379746835443,45.0,45.0,90.0,0.0,53.0,45.0
29.620253,42.29023,90.0,0.0,52.29113924050633,60.0,30.0,90.0,30.0,35.5,45.0
29.620253,42.29023,90.0,0.0,52.18987341772152,75.0,15.0,90.0,60.0,52.0,45.0
30.375,42.55713,90.0,0.0,51.8125,23.333334,32.998314,70.0,0.0,25.666666666666668,45.0
29.620253,42.29023,90.0,0.0,51.89873417721519,30.0,42.426407,90.0,0.0,38.333333333333336,45.0
160.71428,124.318954,610.0,0.0,58.52857142857143,270.0,160.0,430.0,110.0,88.0,45.0
222.13115,215.50638,970.0,0.0,67.93442622950819,105.0,15.0,120.0,90.0,38.0,45.0
256.6129,318.5144,1780.0,0.0,67.20967741935483,330.0,0.0,330.0,330.0,98.0,45.0
260.339,254.37837,1100.0,0.0,71.42372881355932,210.0,150.0,360.0,60.0,70.0,45.0
198.33333,225.8001,1260.0,0.0,52.756410256410255,190.0,130.0,320.0,60.0,41.0,45.0
187.34177,179.90651,900.0,0.0,52.265822784810126,155.0,115.0,270.0,40.0,45.0,45.0
198.05194,202.51047,1220.0,0.0,53.675324675324674,340.0,160.0,500.0,180.0,86.5,45.0
159.49367,124.29954,730.0,0.0,52.24050632911393,140.0,0.0,140.0,140.0,51.0,45.0
187.80821,255.049,1990.0,0.0,56.32876712328767,110.0,50.0,160.0,60.0,35.0,45.0
228.59155,311.85178,1990.0,0.0,58.15492957746479,220.0,0.0,220.0,220.0,84.0,45.0
274.67743,267.43536,1050.0,0.0,66.37096774193549,255.0,195.0,450.0,60.0,71.0,45.0
298.0303,411.76715,2530.0,0.0,62.31818181818182,450.0,0.0,450.0,450.0,84.0,45.0
263.52942,250.64485,1460.0,0.0,60.61764705882353,610.0,390.0,1000.0,220.0,75.5,45.0
292.74194,272.21414,1540.0,0.0,68.74193548387096,130.0,100.0,230.0,30.0,33.0,45.0
293.33334,265.60504,1400.0,0.0,65.23809523809524,360.0,0.0,360.0,360.0,67.0,45.0
313.2787,302.5938,1380.0,0.0,69.24590163934427,100.0,60.0,160.0,40.0,32.0,45.0
387.8846,422.80807,2400.0,10.0,80.42307692307692,310.0,230.0,540.0,80.0,53.5,45.0
375.0,564.5012,3730.0,0.0,69.01666666666667,145.0,35.0,180.0,110.0,33.5,45.0
329.375,385.7293,2270.0,0.0,64.734375,510.0,410.0,920.0,100.0,96.5,45.0
318.83334,296.65405,1570.0,10.0,68.9,200.0,50.0,250.0,150.0,40.5,45.0
424.5098,462.58148,1840.0,0.0,81.45098039215686,770.0,0.0,770.0,770.0,88.0,45.0
368.8889,358.64285,1580.0,20.0,77.05555555555556,695.0,515.0,1210.0,180.0,122.5,45.0
330.17545,268.34445,1180.0,10.0,72.19298245614036,270.0,0.0,270.0,270.0,99.0,45.0
361.89655,326.1344,1840.0,0.0,74.12068965517241,260.0,20.0,280.0,240.0,65.0,45.0
368.5965,358.0083,2130.0,0.0,73.2280701754386,290.0,0.0,290.0,290.0,116.0,45.0
408.8889,432.44638,2150.0,0.0,81.03703703703704,530.0,390.0,920.0,140.0,86.0,45.0
340.9091,271.03354,1360.0,20.0,77.34545454545454,540.0,0.0,540.0,540.0,85.0,45.0
400.37036,451.51584,2050.0,0.0,76.07407407407408,90.0,80.0,170.0,10.0,36.5,45.0
419.63635,459.12152,1710.0,0.0,75.12727272727273,145.0,115.0,260.0,30.0,35.5,45.0
413.26923,405.26212,1870.0,0.0,80.07692307692308,880.0,0.0,880.0,880.0,104.0,45.0
408.43137,369.2779,1800.0,30.0,80.41176470588235,170.0,80.0,250.0,90.0,45.5,45.0
313.50876,304.19574,1360.0,0.0,72.47368421052632,395.0,375.0,770.0,20.0,87.5,45.0
416.2963,442.66992,2430.0,20.0,77.05555555555556,150.0,150.0,300.0,0.0,37.5,45.0
372.2807,378.86728,1840.0,20.0,74.08771929824562,440.0,0.0,440.0,440.0,97.0,45.0
407.3585,387.98535,1740.0,0.0,78.13207547169812,1700.0,0.0,1700.0,1700.0,195.0,45.0
322.7869,323.3033,1470.0,10.0,69.1311475409836,650.0,650.0,1300.0,0.0,78.5,45.0
394.18182,334.55368,1600.0,30.0,75.10909090909091,225.0,105.0,330.0,120.0,45.0,45.0
401.27274,446.11887,2320.0,20.0,74.7090909090909,940.0,0.0,940.0,940.0,154.0,45.0
313.75,271.75644,1820.0,10.0,64.109375,95.0,15.0,110.0,80.0,42.5,45.0
394.9091,372.57767,2120.0,20.0,74.69090909090909,123.333336,87.30534,190.0,0.0,35.333333333333336,45.0
316.5,345.6049,1780.0,0.0,68.63333333333334,150.0,140.0,290.0,10.0,38.5,45.0
388.5965,462.10593,2590.0,0.0,72.85964912280701,236.66667,174.41966,480.0,80.0,59.0,45.0
