trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
79.08481,0.0,79.08481,79.08481,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,60.640570640563965,0.07576195,-2423.5024
179.496,0.0,179.496,179.496,501.0,90.85024,22.457188,120.5019,50.629547,501.0,10020,0.0,0.0,443.52579617500305,0.093823105,-2423.5024
254.76154,0.0,254.76154,254.76154,501.0,215.9622,31.377209,264.9726,162.73889,501.0,15030,0.0,0.0,823.2738800048828,0.09708923,-2423.5024
241.39624,0.0,241.39624,241.39624,501.0,236.37273,25.123274,283.77252,195.92673,501.0,20040,0.0,0.0,1204.1443030834198,0.103946894,-2423.5024
306.07178,0.0,306.07178,306.07178,501.0,251.05225,36.59608,295.89276,170.87598,501.0,25050,0.0,0.0,1583.957043170929,0.10273335,-2423.5024
247.28648,0.0,247.28648,247.28648,501.0,298.4934,40.643085,351.97995,210.86923,501.0,30060,0.0,0.0,1965.7389578819275,0.106003724,-2423.5024
351.72406,0.0,351.72406,351.72406,501.0,274.86166,31.561089,306.76855,205.2286,501.0,35070,0.0,0.0,2347.8993299007416,0.104535915,-2423.5024
295.52014,0.0,295.52014,295.52014,501.0,246.83684,18.989254,277.70645,217.2571,501.0,40080,0.0,0.0,2729.459520339966,0.101519726,-2423.5024
298.0103,0.0,298.0103,298.0103,501.0,288.72614,39.12858,361.7603,237.0987,501.0,45090,0.0,0.0,3115.4086089134216,0.10719203,-2423.5024
275.78003,0.0,275.78003,275.78003,501.0,311.1785,47.65029,361.29294,209.32562,501.0,50100,0.0,0.0,3505.446798801422,0.10449565,-2423.5024
304.03842,0.0,304.03842,304.03842,501.0,286.2166,22.559452,326.14395,257.11536,501.0,55110,0.0,0.0,3893.462451696396,0.10607668,-2423.5024
294.14133,0.0,294.14133,294.14133,501.0,300.16095,43.332108,360.34534,205.9942,501.0,60120,0.0,0.0,4277.364279747009,0.100656234,-2423.5024
297.65076,0.0,297.65076,297.65076,501.0,307.80576,25.041553,353.00146,260.24207,501.0,65130,0.0,0.0,4661.755422115326,0.10626631,-2423.5024
318.43518,0.0,318.43518,318.43518,501.0,327.33505,28.424696,403.193,294.67496,501.0,70140,0.0,0.0,5044.283729553223,0.10615387,-2423.5024
267.69247,0.0,267.69247,267.69247,501.0,317.21686,53.491615,394.98367,239.26083,501.0,75150,0.0,0.0,5427.550567865372,0.1047261,-2423.5024
369.5498,0.0,369.5498,369.5498,501.0,337.25577,38.6679,402.9729,284.9073,501.0,80160,0.0,0.0,5810.676838159561,0.10262189,-2423.5024
313.5937,0.0,313.5937,313.5937,501.0,340.32568,37.51688,390.85468,259.22156,501.0,85170,0.0,0.0,6196.455730438232,0.10505384,-2423.5024
307.61316,0.0,307.61316,307.61316,501.0,350.82285,47.267166,416.71255,262.1638,501.0,90180,0.0,0.0,6581.7290625572205,0.10515151,-2423.5024
249.79807,0.0,249.79807,249.79807,501.0,324.524,37.68648,378.78296,266.47302,501.0,95190,0.0,0.0,6966.311913490295,0.10522398,-2423.5024
296.78082,0.0,296.78082,296.78082,501.0,317.22003,53.604458,418.53122,229.76543,501.0,100200,0.0,0.0,7362.2632558345795,0.1069121,-2423.5024
