trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-459.76227,16.030807,-443.73148,-475.7931,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,81.43734192848206,0.1946655,-1853.2247
-390.04388,17.822922,-372.22098,-407.86682,201.0,-450.41827,19.799488,-426.13455,-473.43298,201.0,20904,0.0,0.0,252.89913535118103,0.1870171,-1853.2247
-391.78973,19.942276,-371.84747,-411.73203,201.0,-382.98755,12.983566,-361.8476,-396.47134,201.0,21708,0.0,0.0,423.1247844696045,0.17420304,-1853.2247
-319.53674,10.371506,-309.16522,-329.90823,201.0,-373.8825,48.6138,-330.51022,-456.23187,201.0,22512,0.0,0.0,595.2074892520905,0.17104192,-1853.2247
-320.04608,18.691605,-301.35446,-338.73767,201.0,-364.28946,7.2306576,-357.00616,-373.43945,201.0,23316,0.0,0.0,769.1380121707916,0.16636698,-1853.2247
-341.4118,16.696182,-324.7156,-358.10797,201.0,-346.50696,21.204908,-319.84045,-377.1084,201.0,24120,0.0,0.0,940.4887404441833,0.15973406,-1853.2247
-339.79474,31.653748,-308.141,-371.4485,201.0,-348.56598,51.158566,-297.2754,-424.7318,201.0,24924,0.0,0.0,1112.0678198337555,0.1627975,-1853.2247
-379.42926,12.017502,-367.41177,-391.44678,201.0,-342.48413,23.78121,-314.67633,-379.31696,201.0,25728,0.0,0.0,1284.0679590702057,0.15875058,-1853.2247
-357.55865,14.733551,-342.8251,-372.2922,201.0,-349.09653,23.720793,-318.27866,-375.42307,201.0,26532,0.0,0.0,1456.337325334549,0.15707661,-1853.2247
-353.5881,17.780304,-335.8078,-371.3684,201.0,-345.9781,35.164032,-311.67368,-401.80276,201.0,27336,0.0,0.0,1627.8281173706055,0.15104197,-1853.2247
-407.56363,38.800262,-368.76337,-446.3639,201.0,-352.19064,23.481953,-314.53693,-379.10678,201.0,28140,0.0,0.0,1800.3687863349915,0.15235092,-1853.2247
-331.54852,11.979141,-319.5694,-343.52768,201.0,-324.2307,25.011919,-306.5629,-367.0858,201.0,28944,0.0,0.0,1971.5664055347443,0.14881589,-1853.2247
-351.3905,40.92189,-310.46863,-392.3124,201.0,-335.83362,19.603592,-314.44794,-363.02823,201.0,29748,0.0,0.0,2142.8188297748566,0.1495399,-1853.2247
-374.25226,24.122879,-350.1294,-398.37515,201.0,-358.74838,23.032082,-322.45886,-382.18982,201.0,30552,0.0,0.0,2317.0030739307404,0.14961708,-1853.2247
-332.4798,22.827713,-309.65207,-355.3075,201.0,-339.92194,8.002074,-330.66376,-351.96005,201.0,31356,0.0,0.0,2511.265732526779,0.14636753,-1853.2247
