trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-45.713634,37.225903,-17.708662,-120.349396,42.2,-172.54713,30.06939,-95.266685,-217.97687,101.0,5050,0.0,0.0,30.561914443969727,0.32374242,-172.54713
-32.160397,24.985325,-10.908432,-112.45373,32.857142857142854,-30.9162,27.96137,-9.762238,-185.96664,30.954545454545453,7093,0.0,0.0,136.72650051116943,0.3579537,-172.54713
-59.188118,44.413876,-12.549629,-141.94487,50.0,-34.003147,32.042545,-9.861208,-188.72916,32.967213114754095,9104,0.0,0.0,237.92112255096436,0.39092413,-172.54713
-27.470556,26.849968,-10.05881,-114.7657,29.785714285714285,-40.485676,36.04225,-8.330476,-169.65904,38.056603773584904,11121,0.0,0.0,340.03329706192017,0.41184428,-172.54713
-33.751213,45.42997,-7.7984557,-186.6826,29.428571428571427,-34.337433,30.364077,-8.538541,-182.1317,33.622950819672134,13172,0.0,0.0,443.2097930908203,0.42421016,-172.54713
-24.157772,13.34426,-11.311387,-52.71095,26.5,-44.1085,36.4187,-9.052772,-140.40208,40.14,15179,0.0,0.0,545.0767476558685,0.44576642,-172.54713
-34.555183,14.343529,-13.499271,-62.25967,33.61538461538461,-31.197975,21.81593,-7.2842555,-87.25942,32.41269841269841,17221,0.0,0.0,648.510381937027,0.4459546,-172.54713
-32.463085,26.803455,-10.774826,-116.01735,31.142857142857142,-33.05239,33.005615,-7.818749,-186.93617,32.0,19269,0.0,0.0,752.3621320724487,0.43274376,-172.54713
-23.156248,14.729201,-9.444075,-62.187016,26.625,-31.968319,25.580345,-9.801724,-124.31265,31.88888888888889,21278,0.0,0.0,854.301260471344,0.4321383,-172.54713
-21.099468,8.551261,-8.358992,-38.72978,24.176470588235293,-34.520367,33.262962,-7.938105,-186.26819,32.5,23293,0.0,0.0,955.884777545929,0.41831055,-172.54713
-26.46115,27.006098,-8.336706,-119.43146,27.2,-29.413002,26.46777,-9.551414,-183.16418,29.98507462686567,25302,0.0,0.0,1056.9972910881042,0.4274018,-172.54713
-28.908617,11.69709,-12.070186,-53.995613,29.714285714285715,-22.100937,11.972772,-7.251689,-62.325397,24.180722891566266,27309,0.0,0.0,1168.232322692871,0.4134891,-172.54713
