trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-509.3784,39.13083,-470.24756,-548.5092,201.0,-1867.8308,393.8016,-1100.0509,-2488.0942,201.0,5025,0.0,0.0,30.18514394760132,0.14834572,-1867.8308
-330.57355,63.867752,-266.70578,-394.44128,201.0,-485.38477,99.51927,-352.32794,-667.1842,201.0,10050,0.0,0.0,302.09039187431335,0.16034968,-1867.8308
-340.18372,63.65033,-276.5334,-403.83405,201.0,-339.8016,82.36055,-264.87915,-598.575,201.0,15075,0.0,0.0,568.743912935257,0.15534125,-1867.8308
-273.80518,13.484268,-260.3209,-287.28943,201.0,-300.87955,64.58049,-247.75603,-591.2923,201.0,20100,0.0,0.0,822.399594783783,0.14544861,-1867.8308
-268.90347,15.426331,-253.47714,-284.3298,201.0,-277.7649,27.123278,-241.49579,-383.26105,201.0,25125,0.0,0.0,1089.3659250736237,0.14965495,-1867.8308
-266.83862,12.1959,-254.64272,-279.03452,201.0,-274.80997,18.069693,-242.97287,-303.5124,201.0,30150,0.0,0.0,1344.604241847992,0.13604306,-1867.8308
-274.8769,11.699371,-263.17752,-286.57626,201.0,-271.0986,10.29654,-248.82832,-293.0059,201.0,35175,0.0,0.0,1596.913430929184,0.13887739,-1867.8308
-259.05258,3.1051407,-255.94743,-262.1577,201.0,-268.25153,14.947054,-239.77504,-310.98853,201.0,40200,0.0,0.0,1849.2698559761047,0.13805817,-1867.8308
-263.8545,16.81968,-247.0348,-280.67416,201.0,-267.1614,9.578178,-253.42862,-293.13092,201.0,45225,0.0,0.0,2106.0200369358063,0.13574736,-1867.8308
-264.4517,6.4700317,-257.98166,-270.92172,201.0,-267.8705,16.698479,-236.23364,-309.6205,201.0,50250,0.0,0.0,2363.911278963089,0.13070697,-1867.8308
-253.80951,6.5248795,-247.28462,-260.33438,201.0,-271.9792,16.404745,-246.36548,-313.94003,201.0,55275,0.0,0.0,2615.7838571071625,0.12762107,-1867.8308
-260.5782,12.844482,-247.7337,-273.42267,201.0,-271.00394,17.37291,-245.07462,-309.56158,201.0,60300,0.0,0.0,2869.5380499362946,0.12929125,-1867.8308
-253.9159,11.425757,-242.49013,-265.34164,201.0,-264.97635,16.08616,-235.64445,-301.86462,201.0,65325,0.0,0.0,3120.249955892563,0.12947394,-1867.8308
-265.82355,12.723587,-253.09998,-278.54715,201.0,-264.98215,14.242692,-230.7013,-294.3729,201.0,70350,0.0,0.0,3369.655688762665,0.12670033,-1867.8308
-283.56934,9.318344,-274.251,-292.8877,201.0,-264.0689,13.904781,-240.14847,-291.21045,201.0,75375,0.0,0.0,3621.498081922531,0.12586766,-1867.8308
