trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-406.5392,17.724945,-388.81427,-424.26416,201.0,-1854.0919,372.5507,-1065.7637,-2610.1255,201.0,20100,0.0,0.0,10.693841934204102,0.19828306,-1854.0919
-359.4295,36.138885,-323.29062,-395.5684,201.0,-379.76743,12.220445,-364.26083,-396.89215,201.0,20904,0.0,0.0,32.0008020401001,0.18297306,-1854.0919
-323.17502,50.18094,-272.99408,-373.35596,201.0,-351.78357,16.014849,-329.34604,-368.09616,201.0,21708,0.0,0.0,52.340436935424805,0.17273831,-1854.0919
-296.85764,3.9624023,-292.89523,-300.82004,201.0,-301.87613,10.051582,-285.35284,-311.7711,201.0,22512,0.0,0.0,72.28583717346191,0.1705884,-1854.0919
-304.06934,20.93254,-283.13678,-325.00186,201.0,-306.3319,4.3423324,-302.38715,-313.64844,201.0,23316,0.0,0.0,92.10067200660706,0.17777364,-1854.0919
-292.77277,8.804306,-283.96848,-301.5771,201.0,-310.41345,8.844605,-296.46994,-318.7471,201.0,24120,0.0,0.0,112.2090311050415,0.16780365,-1854.0919
-301.28052,15.101166,-286.17935,-316.38168,201.0,-308.98163,24.374271,-283.98984,-348.973,201.0,24924,0.0,0.0,132.16754603385925,0.16011553,-1854.0919
-338.83337,51.659424,-287.17395,-390.4928,201.0,-293.9402,13.241796,-279.34485,-315.181,201.0,25728,0.0,0.0,152.31308221817017,0.15328465,-1854.0919
-262.71497,12.832901,-249.88208,-275.54788,201.0,-297.499,18.167612,-274.10086,-321.8873,201.0,26532,0.0,0.0,172.4613859653473,0.16220279,-1854.0919
-296.6819,16.307404,-280.37448,-312.9893,201.0,-291.24686,21.005323,-266.8715,-324.65005,201.0,27336,0.0,0.0,192.84161615371704,0.15567143,-1854.0919
-292.12592,15.031967,-277.09393,-307.15787,201.0,-283.1832,5.946557,-276.4393,-290.61835,201.0,28140,0.0,0.0,213.22129726409912,0.14603123,-1854.0919
-274.83035,9.172668,-265.65768,-284.00302,201.0,-285.1722,9.03543,-269.97592,-292.5501,201.0,28944,0.0,0.0,233.63022804260254,0.15488188,-1854.0919
-284.67575,7.2149353,-277.46082,-291.8907,201.0,-275.28674,9.668908,-265.55396,-291.3592,201.0,29748,0.0,0.0,253.81195712089539,0.14848492,-1854.0919
-303.10968,6.6511993,-296.45847,-309.76086,201.0,-288.05536,19.963844,-267.74377,-320.64017,201.0,30552,0.0,0.0,273.8856110572815,0.14593618,-1854.0919
-286.6359,0.7529907,-285.8829,-287.3889,201.0,-318.72223,29.487076,-284.84866,-355.379,201.0,31356,0.0,0.0,295.8327832221985,0.14969665,-1854.0919
