trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-549.5637,80.43527,-469.12848,-629.999,201.0,-1854.0919,372.5507,-1065.7637,-2610.1255,201.0,20100,0.0,0.0,17.668437957763672,0.19691867,-1854.0919
-378.77795,9.941177,-368.83676,-388.71912,201.0,-602.7045,32.3425,-560.1872,-640.6019,201.0,20904,0.0,0.0,51.851452112197876,0.17942457,-1854.0919
-387.18988,64.92598,-322.26392,-452.11588,201.0,-368.4847,30.111591,-325.98154,-409.7799,201.0,21708,0.0,0.0,84.13841199874878,0.1733057,-1854.0919
-319.68658,24.264145,-295.42245,-343.95074,201.0,-312.03354,15.711841,-287.5406,-327.14597,201.0,22512,0.0,0.0,117.10922908782959,0.17622022,-1854.0919
-342.58105,76.01337,-266.5677,-418.59442,201.0,-305.18,19.485954,-284.95258,-333.10837,201.0,23316,0.0,0.0,150.3763461112976,0.16638547,-1854.0919
-311.42346,35.729385,-275.69406,-347.15283,201.0,-349.9532,61.176838,-271.0633,-441.74066,201.0,24120,0.0,0.0,183.39814496040344,0.15969567,-1854.0919
-266.39642,3.1349487,-263.26147,-269.53137,201.0,-293.87943,30.206112,-262.17355,-332.57397,201.0,24924,0.0,0.0,216.15092206001282,0.16188581,-1854.0919
-316.38702,18.575592,-297.81143,-334.96262,201.0,-278.44135,7.516116,-269.70178,-290.2477,201.0,25728,0.0,0.0,246.48876404762268,0.15774545,-1854.0919
-323.68567,12.633911,-311.05176,-336.31958,201.0,-334.84595,47.19782,-282.65704,-390.07254,201.0,26532,0.0,0.0,276.32408714294434,0.15476076,-1854.0919
-317.0927,38.792145,-278.30057,-355.88486,201.0,-327.8769,65.9655,-254.56189,-433.1041,201.0,27336,0.0,0.0,306.10151505470276,0.14984764,-1854.0919
-331.03613,6.9781647,-324.05798,-338.0143,201.0,-382.55328,150.05675,-271.96924,-638.5044,201.0,28140,0.0,0.0,335.9776539802551,0.1492472,-1854.0919
-334.03674,27.69078,-306.34598,-361.72754,201.0,-311.00403,25.58725,-271.78644,-336.6693,201.0,28944,0.0,0.0,366.8854570388794,0.14864945,-1854.0919
-278.003,4.493088,-273.5099,-282.49606,201.0,-286.59912,28.524704,-245.26175,-321.60986,201.0,29748,0.0,0.0,399.19138622283936,0.14472936,-1854.0919
-286.68054,1.8128052,-284.86774,-288.49335,201.0,-297.51443,8.005311,-284.4989,-306.2865,201.0,30552,0.0,0.0,429.138463973999,0.14468615,-1854.0919
-438.78217,35.34575,-403.4364,-474.1279,201.0,-282.28308,28.054031,-253.01888,-325.8496,201.0,31356,0.0,0.0,464.35226702690125,0.15036482,-1854.0919
