trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-413.13696,15.861542,-397.27542,-428.9985,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,41.91707682609558,0.1946655,-1853.2247
-275.7566,6.1503754,-269.6062,-281.90695,201.0,-502.97052,37.297363,-443.39383,-536.9274,201.0,20904,0.0,0.0,106.69594287872314,0.17680241,-1853.2247
-263.73474,11.943085,-251.79166,-275.67783,201.0,-292.31638,24.110737,-251.88364,-314.515,201.0,21708,0.0,0.0,171.7686960697174,0.16912313,-1853.2247
-263.84613,1.6041718,-262.24194,-265.4503,201.0,-268.71207,8.866712,-255.55484,-280.34476,201.0,22512,0.0,0.0,236.62430095672607,0.17266957,-1853.2247
-279.83057,9.834595,-269.99597,-289.66516,201.0,-273.68225,12.563194,-252.78296,-285.65366,201.0,23316,0.0,0.0,301.46236848831177,0.16798902,-1853.2247
-267.08813,3.8557892,-263.23236,-270.94394,201.0,-274.0996,6.0563293,-268.14087,-282.47534,201.0,24120,0.0,0.0,366.2643086910248,0.16059192,-1853.2247
-262.72058,0.13630676,-262.5843,-262.8569,201.0,-273.17404,11.150369,-260.17273,-288.77023,201.0,24924,0.0,0.0,431.01394057273865,0.16129243,-1853.2247
-261.2807,2.650589,-258.63013,-263.9313,201.0,-272.33844,6.3716826,-264.74695,-280.82312,201.0,25728,0.0,0.0,495.7319839000702,0.1519392,-1853.2247
-260.14743,17.319664,-242.82777,-277.4671,201.0,-305.61008,75.45133,-248.54195,-435.07513,201.0,26532,0.0,0.0,560.4697194099426,0.15093985,-1853.2247
-266.6944,7.5299835,-259.16443,-274.2244,201.0,-257.5814,21.238605,-227.6653,-287.3376,201.0,27336,0.0,0.0,625.2095808982849,0.15616713,-1853.2247
-251.09836,8.162788,-242.93556,-259.26114,201.0,-262.4401,7.340797,-252.1691,-272.55856,201.0,28140,0.0,0.0,690.1970059871674,0.14643663,-1853.2247
-275.55145,8.935608,-266.61584,-284.48706,201.0,-285.52087,10.491017,-272.8464,-300.11847,201.0,28944,0.0,0.0,755.3020675182343,0.14284,-1853.2247
-238.16934,7.7066574,-230.46269,-245.876,201.0,-261.2864,10.977913,-248.39528,-276.63544,201.0,29748,0.0,0.0,820.858149766922,0.1468638,-1853.2247
-255.93654,17.955643,-237.9809,-273.89218,201.0,-277.6196,8.806441,-264.6555,-286.2639,201.0,30552,0.0,0.0,885.7818112373352,0.14754806,-1853.2247
-247.53226,3.3451996,-244.18706,-250.87746,201.0,-252.3202,6.5203266,-243.54118,-261.037,201.0,31356,0.0,0.0,957.4783873558044,0.14722647,-1853.2247
