trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-43.931896,33.729256,-17.708662,-116.66704,40.833333333333336,-172.54713,30.06939,-95.266685,-217.97687,101.0,5050,0.0,0.0,13.5573251247406,0.32374242,-172.54713
-32.851418,10.32477,-21.633596,-47.72494,33.0,-30.335836,23.597801,-10.80155,-120.349396,31.575757575757574,6092,0.0,0.0,59.40574789047241,0.34949723,-172.54713
-49.08451,33.993523,-11.072287,-105.645164,47.0,-40.192135,39.169872,-8.747445,-187.70332,37.592592592592595,7107,0.0,0.0,102.07728910446167,0.38008013,-172.54713
-30.219357,14.070035,-14.738551,-57.107414,30.714285714285715,-44.64648,42.645435,-10.403622,-187.85567,37.629629629629626,8123,0.0,0.0,143.80927419662476,0.3855041,-172.54713
-32.055286,34.56699,-9.933252,-108.75704,34.666666666666664,-26.762564,23.168655,-7.454994,-107.153656,28.714285714285715,9128,0.0,0.0,185.60647821426392,0.3961064,-172.54713
-21.379923,20.887314,-8.295544,-75.15167,26.25,-34.833126,26.760181,-11.556863,-116.43486,32.935483870967744,10149,0.0,0.0,227.09217405319214,0.40185297,-172.54713
-29.004477,22.457073,-10.301244,-81.955086,30.857142857142858,-30.233086,25.878288,-6.9270525,-91.32178,30.794117647058822,11196,0.0,0.0,269.3379662036896,0.3972182,-172.54713
-56.992058,33.168034,-23.116905,-111.83628,51.75,-38.66192,31.446514,-9.369619,-119.53217,37.370370370370374,12205,0.0,0.0,315.94208097457886,0.39001226,-172.54713
-23.064703,11.568318,-8.411223,-38.4772,25.88888888888889,-31.243837,21.665445,-9.766634,-110.60232,31.34375,13208,0.0,0.0,362.815691947937,0.4074222,-172.54713
-25.240158,8.983439,-9.050439,-39.34015,26.125,-28.124292,20.382172,-7.0022573,-88.06379,29.083333333333332,14255,0.0,0.0,409.08304619789124,0.39175335,-172.54713
-21.015078,10.677743,-11.393451,-46.21497,24.0,-41.848446,43.64802,-7.742598,-183.62442,34.96666666666667,15304,0.0,0.0,456.96636414527893,0.39811495,-172.54713
-21.9047,8.932952,-8.406982,-39.4029,24.22222222222222,-38.223236,31.27946,-8.478819,-166.35172,36.035714285714285,16313,0.0,0.0,508.72547721862793,0.41218868,-172.54713
