trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
2.0243902,2.815357,6.0,0.0,50.26829268292683,3.0,3.0,6.0,0.0,54.0,3.0
1.9878049,2.7695818,6.0,0.0,50.073170731707314,1.0,1.4142135,3.0,0.0,22.333333333333332,3.0
1.9512196,2.7889261,6.0,0.0,50.01219512195122,3.0,3.0,6.0,0.0,45.5,3.0
2.0240965,2.8368313,6.0,0.0,49.93975903614458,0.5,0.5,1.0,0.0,57.0,3.0
1.9879518,2.7919593,6.0,0.0,50.04819277108434,3.0,3.0,6.0,0.0,53.5,3.0
12.59375,8.559934,27.0,1.0,64.28125,21.0,4.0,25.0,17.0,53.5,3.0
19.75,11.386578,51.0,0.0,70.01666666666667,12.0,12.0,24.0,0.0,56.0,3.0
16.123077,10.554631,47.0,0.0,63.707692307692305,13.666667,12.283683,31.0,4.0,45.666666666666664,3.0
17.311476,10.278963,42.0,0.0,67.9672131147541,27.0,0.0,27.0,27.0,91.0,3.0
22.561403,10.815871,60.0,4.0,72.9298245614035,43.5,26.5,70.0,17.0,102.5,3.0
23.431034,14.913673,59.0,1.0,71.53448275862068,37.0,37.0,74.0,0.0,109.0,3.0
21.810345,15.7671175,74.0,0.0,71.36206896551724,89.0,0.0,89.0,89.0,165.0,3.0
23.123077,15.957162,77.0,0.0,65.96923076923076,23.5,23.5,47.0,0.0,57.5,3.0
22.125,14.324913,58.0,0.0,64.46875,42.0,0.0,42.0,42.0,137.0,3.0
23.983051,17.116245,83.0,0.0,71.2542372881356,13.0,13.0,26.0,0.0,40.0,3.0
26.75926,15.739705,78.0,2.0,76.5925925925926,26.0,26.0,52.0,0.0,53.0,3.0
22.583334,19.801762,73.0,0.0,69.66666666666667,27.5,20.5,48.0,7.0,52.0,3.0
25.709091,17.730993,72.0,0.0,75.16363636363636,23.0,0.0,23.0,23.0,76.0,3.0
23.758064,15.461383,72.0,0.0,66.11290322580645,30.0,0.0,30.0,30.0,65.0,3.0
25.16949,17.33533,83.0,1.0,70.76271186440678,28.0,20.0,48.0,8.0,69.0,3.0
