trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
-888.83264,1481.5603,-125.03708,-8455.676,145.6551724137931,-163.30986,0.0,-163.30986,-163.30986,81.0,-163.30986
-1011.832,909.19305,-119.59891,-4411.395,176.16666666666666,-708.3149,0.0,-708.3149,-708.3149,102.0,-163.30986
-124.349525,26.691965,-74.33638,-148.61006,999.0,-176.91194,0.0,-176.91194,-176.91194,300.0,-163.30986
-181.26553,55.90778,-113.07672,-275.44995,852.8,-116.15947,0.0,-116.15947,-116.15947,999.0,-163.30986
-173.30344,21.00568,-156.09866,-212.94302,999.0,-158.29395,0.0,-158.29395,-158.29395,999.0,-163.30986
-164.08905,117.66671,-84.708664,-396.3028,881.4,-70.46072,0.0,-70.46072,-70.46072,999.0,-163.30986
-154.4521,66.74058,-75.912994,-258.1258,753.6666666666666,-64.75539,0.0,-64.75539,-64.75539,999.0,-163.30986
-131.97499,54.767952,-68.52705,-216.84372,644.7142857142857,-187.5639,0.0,-187.5639,-187.5639,156.0,-163.30986
-156.71213,80.72354,-46.581223,-265.17987,728.5,-83.2343,0.0,-83.2343,-83.2343,999.0,-163.30986
-117.43738,37.31643,-62.41578,-179.60889,825.4,-114.99536,0.0,-114.99536,-114.99536,999.0,-163.30986
40.0168,116.46993,202.1048,-80.97583,761.0,-91.58812,0.0,-91.58812,-91.58812,999.0,-163.30986
-79.00919,120.53865,123.47279,-234.51753,732.0,-57.92487,0.0,-57.92487,-57.92487,999.0,-163.30986
-74.24579,66.918144,53.850624,-135.36038,923.2,-109.58892,0.0,-109.58892,-109.58892,726.0,-163.30986
103.38626,93.02917,205.67918,-11.628799,456.8888888888889,161.87927,0.0,161.87927,161.87927,282.0,-163.30986
43.16876,96.49973,177.14145,-66.157486,686.3333333333334,-74.572556,0.0,-74.572556,-74.572556,999.0,-163.30986
13.96349,101.00583,164.2403,-107.37249,727.5,102.228226,0.0,102.228226,102.228226,862.0,-163.30986
117.31705,117.38739,237.19864,-60.447376,575.0,63.05366,0.0,63.05366,63.05366,329.0,-163.30986
75.04942,49.7594,139.10858,-22.070206,569.5,187.14775,0.0,187.14775,187.14775,236.0,-163.30986
56.577816,101.01238,217.36392,-66.83969,824.3333333333334,190.48318,0.0,190.48318,190.48318,375.0,-163.30986
98.38509,85.6918,181.99362,-29.465942,714.7142857142857,-10.7450905,0.0,-10.7450905,-10.7450905,999.0,-163.30986
63.576344,99.97793,260.07944,-65.524216,695.7142857142857,-45.29791,0.0,-45.29791,-45.29791,999.0,-163.30986
113.61866,111.06519,231.64355,-70.87757,610.5,-45.94638,0.0,-45.94638,-45.94638,999.0,-163.30986
105.430374,64.17163,201.54779,-9.586252,451.4,215.28032,0.0,215.28032,215.28032,305.0,-163.30986
-68.555046,33.236694,-6.7675095,-100.441315,931.4,183.9176,0.0,183.9176,183.9176,164.0,-163.30986
96.657845,77.121735,208.98813,-69.20384,417.0,156.08563,0.0,156.08563,156.08563,435.0,-163.30986
130.30882,78.17589,233.65485,-71.186646,358.9166666666667,59.282803,0.0,59.282803,59.282803,999.0,-163.30986
50.68727,120.91899,242.42844,-119.04595,582.25,-84.792656,0.0,-84.792656,-84.792656,999.0,-163.30986
134.6492,85.671875,208.06506,-96.223145,418.3,85.716354,0.0,85.716354,85.716354,314.0,-163.30986
-110.80651,81.22909,62.282867,-165.54668,758.0,122.11204,0.0,122.11204,122.11204,999.0,-163.30986
139.70584,79.08175,211.82262,-47.26245,505.77777777777777,-45.189087,0.0,-45.189087,-45.189087,999.0,-163.30986
118.277534,110.9214,206.84592,-140.05238,478.55555555555554,169.0428,0.0,169.0428,169.0428,227.0,-163.30986
89.32359,130.36232,205.36095,-144.17978,617.8571428571429,206.43689,0.0,206.43689,206.43689,454.0,-163.30986
76.91544,109.27638,202.29393,-79.56635,701.3333333333334,167.8764,0.0,167.8764,167.8764,243.0,-163.30986
167.76674,47.59386,251.84647,97.82624,350.38461538461536,158.66165,0.0,158.66165,158.66165,260.0,-163.30986
61.477287,145.89468,203.08844,-249.35783,417.8,144.28047,0.0,144.28047,144.28047,134.0,-163.30986
83.47433,147.97374,219.47626,-316.9246,424.45454545454544,203.25525,0.0,203.25525,203.25525,94.0,-163.30986
-55.042656,33.314423,-25.313683,-105.172424,999.0,-60.891335,0.0,-60.891335,-60.891335,999.0,-163.30986
49.489044,135.42358,264.91498,-72.05242,755.0,-107.78259,0.0,-107.78259,-107.78259,999.0,-163.30986
35.41402,126.98705,220.53818,-242.53706,408.8333333333333,101.39733,0.0,101.39733,101.39733,428.0,-163.30986
-19.80988,87.38054,153.76537,-78.8,906.0,-46.11792,0.0,-46.11792,-46.11792,999.0,-163.30986
153.25806,54.97457,206.99005,26.798553,416.9,89.618126,0.0,89.618126,89.618126,602.0,-163.30986
168.94475,54.431904,253.15535,66.036995,330.15384615384613,198.36134,0.0,198.36134,198.36134,442.0,-163.30986
-31.584972,61.010963,86.76947,-82.801544,955.2,220.11862,0.0,220.11862,220.11862,237.0,-163.30986
97.84748,94.34762,232.78079,-73.72467,309.3333333333333,161.05524,0.0,161.05524,161.05524,280.0,-163.30986
139.65172,96.42073,217.30807,-102.43805,291.73333333333335,160.16327,0.0,160.16327,160.16327,423.0,-163.30986
167.50993,53.500164,235.60828,26.380938,223.73684210526315,100.73164,0.0,100.73164,100.73164,300.0,-163.30986
174.29253,42.792526,234.45547,68.79552,382.3333333333333,175.81929,0.0,175.81929,175.81929,164.0,-163.30986
143.85385,100.803856,222.91147,-168.764,261.8235294117647,141.61317,0.0,141.61317,141.61317,204.0,-163.30986
135.36311,79.69702,219.21298,-32.44146,350.4166666666667,186.94612,0.0,186.94612,186.94612,119.0,-163.30986
101.59651,98.61158,205.55493,-83.03987,326.38461538461536,153.84923,0.0,153.84923,153.84923,388.0,-163.30986
122.082466,100.095,266.565,-44.234787,388.9166666666667,82.19309,0.0,82.19309,82.19309,778.0,-163.30986
