trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
-888.83264,1481.5603,-125.03708,-8455.676,145.6551724137931,-163.30986,0.0,-163.30986,-163.30986,81.0,-163.30986
-593.15027,347.6328,-141.22531,-2198.8018,122.05882352941177,-196.09021,0.0,-196.09021,-196.09021,74.0,-163.30986
-163.48996,22.443441,-137.16843,-192.9684,999.0,-157.03821,0.0,-157.03821,-157.03821,999.0,-163.30986
-149.1359,13.214434,-130.38506,-168.7104,999.0,-154.81029,0.0,-154.81029,-154.81029,999.0,-163.30986
-217.01855,45.44001,-163.59608,-290.42126,959.2,-224.01416,0.0,-224.01416,-224.01416,999.0,-163.30986
-219.3356,76.24565,-169.43127,-369.21744,912.0,-144.50104,0.0,-144.50104,-144.50104,999.0,-163.30986
-156.53026,31.221258,-107.72197,-198.11316,838.2,-226.80002,0.0,-226.80002,-226.80002,494.0,-163.30986
-127.3706,61.886383,-24.63311,-184.23926,718.7142857142857,-107.38833,0.0,-107.38833,-107.38833,999.0,-163.30986
-107.21425,29.810402,-64.18686,-153.55522,825.6,-68.58557,0.0,-68.58557,-68.58557,202.0,-163.30986
-101.702095,52.337685,-6.486578,-173.0753,684.5,-133.35739,0.0,-133.35739,-133.35739,999.0,-163.30986
28.005371,120.305,173.87064,-131.38379,732.0,176.5133,0.0,176.5133,176.5133,804.0,-163.30986
-9.507005,126.428215,231.96979,-158.96172,668.0,-90.2738,0.0,-90.2738,-90.2738,860.0,-163.30986
-70.44953,54.316883,36.226177,-115.01115,913.6,-96.39998,0.0,-96.39998,-96.39998,999.0,-163.30986
0.5399334,89.21552,165.85503,-75.88949,829.4,35.450294,0.0,35.450294,35.450294,293.0,-163.30986
