trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.0811744,0.27310282,8.0,7.0,7.081174438687392,7.2222223,0.41573972,8.0,7.0,7.222222222222222,None,7.2222223
7.1039863,0.30524254,8.0,7.0,7.103986135181976,7.0,0.0,7.0,7.0,7.0,None,7.2222223
7.0934258,0.29102793,8.0,7.0,7.093425605536332,7.111111,0.31426966,8.0,7.0,7.111111111111111,None,7.2222223
13.00635,1.098321,16.0,11.0,13.006349206349206,13.2,0.74833155,14.0,12.0,13.2,-10.035776138305664,7.2222223
37.862385,0.72273546,40.0,36.0,37.862385321100916,37.5,1.5,39.0,36.0,37.5,-18.17906951904297,7.2222223
46.738636,1.1128824,49.0,45.0,46.73863636363637,46.5,0.5,47.0,46.0,46.5,-17.76823616027832,7.2222223
58.7,9.678179,98.0,45.0,58.7,60.5,2.5,63.0,58.0,60.5,-16.37296485900879,7.2222223
65.09524,1.857753,68.0,61.0,65.0952380952381,65.0,0.0,65.0,65.0,65.0,-18.054790496826172,7.2222223
68.316666,0.4651762,69.0,68.0,68.31666666666666,68.0,0.0,68.0,68.0,68.0,-17.982324600219727,7.2222223
48.44706,1.0000691,50.0,46.0,48.44705882352941,48.5,0.5,49.0,48.0,48.5,-18.299102783203125,7.2222223
38.25926,0.5158663,39.0,37.0,38.25925925925926,38.5,0.5,39.0,38.0,38.5,-18.51766586303711,7.2222223
40.623764,0.8883347,43.0,39.0,40.62376237623762,40.0,1.0,41.0,39.0,40.0,-18.65869903564453,7.2222223
47.011364,2.5694637,52.0,43.0,47.01136363636363,46.5,1.5,48.0,45.0,46.5,-15.752167701721191,7.2222223
46.965908,1.0274512,49.0,45.0,46.96590909090909,49.0,0.0,49.0,49.0,49.0,-15.784645080566406,7.2222223
43.893616,0.91637677,46.0,42.0,43.8936170212766,43.5,0.5,44.0,43.0,43.5,-15.57874584197998,7.2222223
99.809525,1.0962728,102.0,98.0,99.80952380952381,100.0,0.0,100.0,100.0,100.0,-14.675433158874512,7.2222223
42.45361,0.49784312,43.0,42.0,42.45360824742268,42.5,0.5,43.0,42.0,42.5,-14.524473190307617,7.2222223
47.88372,0.41536215,49.0,47.0,47.883720930232556,48.0,0.0,48.0,48.0,48.0,-17.920146942138672,7.2222223
32.322834,0.48410785,33.0,31.0,32.32283464566929,32.0,0.0,32.0,32.0,32.0,-15.936259269714355,7.2222223
28.590279,0.4917824,29.0,28.0,28.59027777777778,28.666666,0.4714045,29.0,28.0,28.666666666666668,-15.989924430847168,7.2222223
121.52941,5.4353704,133.0,112.0,121.52941176470588,123.0,0.0,123.0,123.0,123.0,-15.171825408935547,7.2222223
167.72,1.9903768,171.0,164.0,167.72,166.0,0.0,166.0,166.0,166.0,-17.527812957763672,7.2222223
128.875,0.89267856,130.0,127.0,128.875,128.0,0.0,128.0,128.0,128.0,-16.289628982543945,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.816497802734375,7.2222223
93.38636,0.48691553,94.0,93.0,93.38636363636364,94.0,0.0,94.0,94.0,94.0,-18.630294799804688,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.597618103027344,7.2222223
52.73077,1.5580484,55.0,50.0,52.73076923076923,53.5,1.5,55.0,52.0,53.5,-20.29199981689453,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-20.589677810668945,7.2222223
133.96774,0.96666616,136.0,132.0,133.96774193548387,134.0,0.0,134.0,134.0,134.0,-19.722429275512695,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.454416275024414,7.2222223
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-14.209293365478516,7.2222223
