trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
7.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,None,7.0
7.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,None,7.0
7.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,None,7.0
10.42132,0.4937706,11.0,10.0,10.421319796954315,10.571428,0.49487168,11.0,10.0,10.571428571428571,-9.945979118347168,7.0
60.661766,5.3126106,68.0,51.0,60.661764705882355,63.0,0.0,63.0,63.0,63.0,-16.78704833984375,7.0
61.25373,0.9198197,63.0,60.0,61.25373134328358,61.0,0.0,61.0,61.0,61.0,-16.82070541381836,7.0
82.08,1.2139193,85.0,80.0,82.08,82.0,0.0,82.0,82.0,82.0,-17.573322296142578,7.0
128.5,2.0,133.0,125.0,128.5,130.0,0.0,130.0,130.0,130.0,-17.3247013092041,7.0
131.15625,3.437926,137.0,124.0,131.15625,129.0,0.0,129.0,129.0,129.0,-17.588485717773438,7.0
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.851367950439453,7.0
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-19.899728775024414,7.0
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.812732696533203,7.0
101.46342,0.5453824,102.0,100.0,101.46341463414635,101.0,0.0,101.0,101.0,101.0,-18.960350036621094,7.0
34.949154,0.2866362,36.0,34.0,34.94915254237288,35.0,0.0,35.0,35.0,35.0,-16.102954864501953,7.0
29.127659,9.065444,35.0,12.0,29.127659574468087,27.0,10.614455,35.0,12.0,27.0,-16.0428524017334,7.0
37.336365,0.47246504,38.0,37.0,37.336363636363636,38.0,0.0,38.0,38.0,38.0,-17.079151153564453,7.0
34.788136,0.4288671,36.0,34.0,34.78813559322034,35.0,0.0,35.0,35.0,35.0,-15.430185317993164,7.0
75.09091,0.47759724,76.0,74.0,75.0909090909091,75.0,0.0,75.0,75.0,75.0,-18.511579513549805,7.0
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.042795181274414,7.0
27.72973,0.47355175,29.0,27.0,27.72972972972973,27.333334,0.4714045,28.0,27.0,27.333333333333332,-19.03030776977539,7.0
235.11111,143.06754,501.0,137.0,235.11111111111111,137.0,0.0,137.0,137.0,137.0,-18.815074920654297,7.0
396.54544,5.678727,406.0,387.0,396.54545454545456,393.0,0.0,393.0,393.0,393.0,-19.130451202392578,7.0
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-18.950117111206055,7.0
241.0,28.666666,300.0,193.0,241.0,199.0,0.0,199.0,199.0,199.0,-20.142202377319336,7.0
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-20.38288116455078,7.0
25.177914,0.5303112,26.0,24.0,25.177914110429448,25.666666,0.4714045,26.0,25.0,25.666666666666668,-19.595714569091797,7.0
70.54237,2.9419355,73.0,56.0,70.54237288135593,72.0,0.0,72.0,72.0,72.0,-18.559158325195312,7.0
95.25581,0.5323499,96.0,94.0,95.25581395348837,96.0,0.0,96.0,96.0,96.0,-18.82898712158203,7.0
54.746666,91.09351,501.0,35.0,54.74666666666667,36.5,0.5,37.0,36.0,36.5,-19.683916091918945,7.0
87.42553,126.223,501.0,43.0,87.42553191489361,50.0,5.0,55.0,45.0,50.0,-18.69158935546875,7.0
89.152176,2.797261,95.0,85.0,89.15217391304348,93.0,0.0,93.0,93.0,93.0,-19.442834854125977,7.0
