trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
5.893525,3.3821623,24.0,3.0,5.893525179856115,4.3333335,1.9888579,10.0,3.0,4.333333333333333,None,4.3333335
5.883954,3.5751452,29.0,3.0,5.883954154727793,6.4,2.9051678,12.0,3.0,6.4,None,4.3333335
6.16391,3.6876411,29.0,3.0,6.16390977443609,8.125,4.3138585,17.0,3.0,8.125,None,4.3333335
53.597404,21.272663,123.0,7.0,53.5974025974026,46.5,3.5,50.0,43.0,46.5,-9.864933013916016,4.3333335
89.91304,22.173061,179.0,59.0,89.91304347826087,79.0,0.0,79.0,79.0,79.0,-15.612106323242188,4.3333335
138.06667,28.51191,186.0,88.0,138.06666666666666,127.0,0.0,127.0,127.0,127.0,-18.99162483215332,4.3333335
231.88889,69.05383,405.0,161.0,231.88888888888889,263.0,0.0,263.0,263.0,263.0,-17.900146484375,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-17.36321449279785,4.3333335
120.4,16.683952,158.0,94.0,120.4,133.0,0.0,133.0,133.0,133.0,-17.3115234375,4.3333335
87.21277,11.405366,138.0,70.0,87.2127659574468,83.0,0.0,83.0,83.0,83.0,-16.091978073120117,4.3333335
157.92308,142.16618,501.0,74.0,157.92307692307693,93.0,0.0,93.0,93.0,93.0,-15.199222564697266,4.3333335
413.1,86.922325,501.0,259.0,413.1,501.0,0.0,501.0,501.0,501.0,-14.6126070022583,4.3333335
102.31707,1.8404536,105.0,98.0,102.3170731707317,102.0,0.0,102.0,102.0,102.0,-13.55643367767334,4.3333335
110.3421,2.3872063,116.0,106.0,110.34210526315789,114.0,0.0,114.0,114.0,114.0,-12.415887832641602,4.3333335
81.254906,3.1736856,88.0,74.0,81.25490196078431,86.0,0.0,86.0,86.0,86.0,-10.822738647460938,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-10.22835922241211,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-9.849678039550781,4.3333335
103.325,0.7206767,105.0,102.0,103.325,103.0,0.0,103.0,103.0,103.0,-9.11115837097168,4.3333335
97.809525,0.66325665,99.0,96.0,97.80952380952381,97.0,0.0,97.0,97.0,97.0,-9.234667778015137,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-8.07646656036377,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-7.943981170654297,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-7.811521530151367,4.3333335
156.25926,6.1378765,165.0,145.0,156.25925925925927,161.0,0.0,161.0,161.0,161.0,-6.783469200134277,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.368154048919678,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.219437599182129,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.557155609130859,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-6.128237247467041,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-5.422368049621582,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.986584663391113,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.707246780395508,4.3333335
501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,501.0,-4.6153645515441895,4.3333335
