trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-89.51207,39.089775,-20.545288,-162.63663,301.0,-170.63708,0.0,-170.63708,-170.63708,301.0,None,-170.63708
250.17227,36.748356,353.38278,183.92676,301.0,295.0534,0.0,295.0534,295.0534,301.0,1.7951245307922363,-170.63708
346.86362,53.244484,451.49197,230.39928,301.0,350.20673,0.0,350.20673,350.20673,301.0,-6.344241619110107,-170.63708
289.70917,330.69705,590.89294,-157.11548,301.0,-162.40399,0.0,-162.40399,-162.40399,301.0,-13.209174156188965,-170.63708
688.25574,31.720497,729.5964,605.3959,301.0,677.9342,0.0,677.9342,677.9342,301.0,-24.510549545288086,-170.63708
775.74304,27.89903,840.6686,735.2417,301.0,739.14,0.0,739.14,739.14,301.0,-33.429874420166016,-170.63708
776.518,163.55751,912.1558,211.3071,301.0,764.7844,0.0,764.7844,764.7844,301.0,-36.00676345825195,-170.63708
786.436,86.30273,848.53894,494.83862,301.0,866.42224,0.0,866.42224,866.42224,301.0,-34.976688385009766,-170.63708
910.75555,96.61954,1014.01953,609.61505,301.0,955.31573,0.0,955.31573,955.31573,301.0,-38.045387268066406,-170.63708
849.4224,194.93967,1004.8655,251.79938,301.0,1003.7289,0.0,1003.7289,1003.7289,301.0,-41.755287170410156,-170.63708
999.4986,52.69495,1097.9048,899.00824,301.0,1016.1347,0.0,1016.1347,1016.1347,301.0,-42.33774948120117,-170.63708
942.72107,290.93433,1096.2098,-96.52057,301.0,1106.4891,0.0,1106.4891,1106.4891,301.0,-38.41599655151367,-170.63708
987.5094,142.33371,1108.0115,499.32587,301.0,1003.24255,0.0,1003.24255,1003.24255,301.0,-42.97703170776367,-170.63708
938.1989,223.87291,1095.6279,184.17905,301.0,1031.1211,0.0,1031.1211,1031.1211,301.0,-48.16732406616211,-170.63708
1039.9298,56.973083,1124.9635,934.95087,301.0,931.11743,0.0,931.11743,931.11743,301.0,-43.98884963989258,-170.63708
1105.6941,37.371986,1175.112,1059.4042,301.0,995.78876,0.0,995.78876,995.78876,301.0,-46.87307357788086,-170.63708
